id,campaign_id,account_id,date,placement,spend,impressions,clicks,ctr,button_rate,lead_count,lead_cost
48,5,5,2026-08-12,搜索,25327,205666,2572,0.0125,0.06,100,253.27
49,5,5,2026-08-13,信息流,24641,377542,7734,0.0205,0.035,147,167.63
50,5,5,2026-08-13,搜索,24887,406662,6510,0.016,0.0318,106,234.78
51,5,5,2026-08-14,信息流,25499,249521,5306,0.0213,0.0536,138,184.78
52,5,5,2026-08-14,搜索,26126,371497,8155,0.022,0.0467,234,111.65
53,5,5,2026-08-15,信息流,25267,229780,3439,0.015,0.0591,116,217.82
54,5,5,2026-08-15,搜索,26060,195979,3817,0.0195,0.0317,69,377.68
55,5,5,2026-08-16,信息流,26229,403535,6985,0.0173,0.0317,122,214.99
56,5,5,2026-08-16,搜索,25580,197962,3553,0.0179,0.0503,84,304.52
57,9,9,2026-08-10,信息流,14445,413383,7315,0.0177,0.0474,142,101.73
58,9,9,2026-08-10,搜索,14367,289897,5384,0.0186,0.047,125,114.94
59,9,9,2026-08-11,信息流,14984,233545,4366,0.0187,0.0394,82,182.73
60,9,9,2026-08-11,搜索,14718,356079,6571,0.0185,0.0437,194,75.87
61,9,9,2026-08-12,信息流,14848,182441,3025,0.0166,0.06,126,117.84
62,9,9,2026-08-12,搜索,14850,320937,4535,0.0141,0.038,117,126.92
63,9,9,2026-08-13,信息流,14940,410495,5928,0.0144,0.0385,121,123.47
64,9,9,2026-08-13,搜索,15912,364428,5475,0.015,0.0595,209,76.13
65,9,9,2026-08-14,信息流,16033,182050,3400,0.0187,0.0466,107,149.84
66,9,9,2026-08-14,搜索,15162,410195,5473,0.0133,0.0335,79,191.92
67,9,9,2026-08-15,信息流,16233,220749,3250,0.0147,0.0481,96,169.09
68,9,9,2026-08-15,搜索,15516,360223,6607,0.0183,0.0379,136,114.09
69,9,9,2026-08-16,信息流,15304,204195,3745,0.0183,0.0549,84,182.19
70,9,9,2026-08-16,搜索,15883,382144,5085,0.0133,0.0594,135,117.65
